vector_id,N_ANC,N_AFR,N_EUR,N_ADMIX,ADMIX_TIME,SPLIT_TIME,p_AFR,p_EUR,likelihood,posterior
194,17608,21273,7209,13570,14,2000,0.7123706508079939,0.2876293491920061,0.0,0.0
195,19860,46099,29523,45591,13,2000,0.8007058510883317,0.1992941489116683,0.0,0.0
196,15872,13224,5136,46912,8,2000,0.7963937416687843,0.2036062583312157,0.0,0.0
197,12301,42361,24534,47174,8,2000,0.8512622859922103,0.1487377140077896,0.01,0.00021436227224008576
198,19585,21872,13680,41309,15,2000,0.7816270519951257,0.2183729480048742,0.0,0.0
199,8177,30874,12306,43745,11,2000,0.8834607354295724,0.1165392645704276,0.63,0.013504823151125403
200,7855,24014,24808,40677,8,2000,0.8694207499912702,0.1305792500087298,0.16,0.003429796355841372
201,9459,20065,7897,26712,12,2000,0.7166581280535547,0.2833418719464453,0.0,0.0
202,10142,16705,15142,11201,15,2000,0.7829898439403592,0.2170101560596408,0.0,0.0
203,12702,30260,12475,24568,16,2000,0.8243064779060264,0.1756935220939736,0.0,0.0
204,14398,13504,18887,8260,16,2000,0.8463045821320183,0.1536954178679817,0.04,0.000857449088960343
205,9001,37463,7252,16573,9,2000,0.7458645405195288,0.2541354594804712,0.0,0.0
206,13615,36107,23944,19668,14,2000,0.8573761674719567,0.1426238325280433,0.06,0.0012861736334405145
207,18452,45331,20520,36467,13,2000,0.7543984094183408,0.2456015905816592,0.0,0.0
208,19857,11830,23190,39140,9,2000,0.7934038961199538,0.2065961038800462,0.0,0.0
209,10338,34586,22267,37469,16,2000,0.7135917848855693,0.2864082151144307,0.0,0.0
210,15154,36786,22562,33237,11,2000,0.7158264352591979,0.2841735647408021,0.0,0.0
211,17104,42677,7482,31284,16,2000,0.76993415799347,0.23006584200653,0.0,0.0
212,19552,21712,15448,16342,9,2000,0.7618699128463586,0.2381300871536413,0.0,0.0
213,18651,17109,20117,32897,10,2000,0.885562191177066,0.1144378088229339,0.66,0.01414790996784566
214,13724,48387,13521,36411,8,2000,0.7725015088829115,0.2274984911170885,0.0,0.0
215,15652,31787,20377,39898,11,2000,0.865849878238723,0.134150121761277,0.11,0.0023579849946409434
216,19926,28683,23212,42027,9,2000,0.7620165119983215,0.2379834880016784,0.0,0.0
217,8056,14388,5724,17486,16,2000,0.8521563747065297,0.1478436252934702,0.06,0.0012861736334405145
218,16355,27167,25432,39180,12,2000,0.8471044727771072,0.1528955272228928,0.01,0.00021436227224008576
219,17255,48237,20507,14320,9,2000,0.8348818543634063,0.1651181456365936,0.0,0.0
220,11351,14795,16020,18527,14,2000,0.7180952049842888,0.2819047950157112,0.0,0.0
221,18328,19041,23455,16493,14,2000,0.8806386264186757,0.1193613735813242,0.56,0.012004287245444804
222,12986,14477,12070,7158,13,2000,0.8648193646853225,0.1351806353146775,0.19,0.004072883172561629
223,10172,48370,20991,17304,9,2000,0.7139259097396399,0.2860740902603601,0.0,0.0
224,9515,26307,29784,41595,14,2000,0.8865351046916583,0.1134648953083417,0.72,0.015434083601286173
225,11635,11272,22336,47727,8,2000,0.7396288268289218,0.2603711731710781,0.0,0.0
226,9804,44713,26646,29294,11,2000,0.8413959137949295,0.1586040862050705,0.0,0.0
227,13467,41734,25062,14266,16,2000,0.78226514257399,0.2177348574260099,0.0,0.0
228,9072,45374,13532,19370,16,2000,0.7570912301399649,0.242908769860035,0.0,0.0
229,16533,22998,27074,27543,12,2000,0.7094679548034724,0.2905320451965276,0.0,0.0
230,10210,37230,13243,49839,13,2000,0.703385812954433,0.2966141870455669,0.0,0.0
231,11409,49732,6906,44067,11,2000,0.8357812800400849,0.1642187199599151,0.0,0.0
232,16473,11582,28875,13361,10,2000,0.861204093240225,0.138795906759775,0.08,0.001714898177920686
233,12116,11019,20294,21818,12,2000,0.8996293490407118,0.1003706509592882,0.91,0.019506966773847802
234,15090,33177,23046,12781,12,2000,0.8120509291406628,0.1879490708593372,0.0,0.0
235,15694,46699,16648,38579,10,2000,0.7656779154809684,0.2343220845190315,0.0,0.0
236,11539,27328,28074,9513,12,2000,0.7019263468622188,0.2980736531377812,0.0,0.0
237,13534,37210,5971,15885,14,2000,0.8579872812388131,0.1420127187611869,0.11,0.0023579849946409434
238,10391,24495,29704,46575,8,2000,0.8442352420953835,0.1557647579046165,0.0,0.0
239,9078,41337,8551,49652,15,2000,0.7122556394622082,0.2877443605377918,0.0,0.0
240,15890,38711,14601,11127,14,2000,0.8464133155113159,0.153586684488684,0.08,0.001714898177920686
241,16956,21451,28405,24533,10,2000,0.7472675685713593,0.2527324314286406,0.0,0.0
242,8048,33078,15204,16939,9,2000,0.7465955340453174,0.2534044659546826,0.0,0.0
243,13973,10727,15034,6706,9,2000,0.7071198486064662,0.2928801513935338,0.0,0.0
244,17623,33344,24369,43153,10,2000,0.7235033503903789,0.276496649609621,0.0,0.0
245,16306,20146,12151,34583,16,2000,0.8920788112225857,0.1079211887774143,0.84,0.0180064308681672
246,17240,40988,28908,15334,8,2000,0.7174806337925896,0.2825193662074103,0.0,0.0
247,13111,48454,8609,26307,9,2000,0.7443245678431695,0.2556754321568305,0.0,0.0
248,12648,27030,10220,35208,15,2000,0.7481079956469466,0.2518920043530533,0.0,0.0
249,7100,42543,25030,29550,10,2000,0.8293677710988335,0.1706322289011664,0.0,0.0
250,14924,47748,15102,27831,9,2000,0.8538127158179233,0.1461872841820767,0.03,0.0006430868167202572
251,18597,34364,11907,22992,12,2000,0.7556576784614769,0.2443423215385231,0.0,0.0
252,17314,33440,29296,15038,13,2000,0.7308098527729372,0.2691901472270628,0.0,0.0
253,9964,42669,14580,40295,12,2000,0.8900841079961772,0.1099158920038227,0.83,0.017792068595927118
254,11928,31363,9572,34498,13,2000,0.8329937493027866,0.1670062506972134,0.0,0.0
255,15539,14895,25097,44779,9,2000,0.8871871411736775,0.1128128588263225,0.71,0.015219721329046088
256,10573,12525,7858,17524,13,2000,0.8242640568777859,0.175735943122214,0.0,0.0
257,12733,33508,5651,10545,15,2000,0.7071033986261968,0.2928966013738032,0.0,0.0
258,16611,35096,7286,40308,14,2000,0.8732058311726764,0.1267941688273236,0.33,0.00707395498392283
259,16305,24607,21520,8011,15,2000,0.8849898890025663,0.1150101109974337,0.63,0.013504823151125403
260,15050,35914,29143,8650,8,2000,0.8847794939217678,0.1152205060782322,0.62,0.013290460878885316
261,14499,20783,17507,12940,15,2000,0.8298058193759769,0.1701941806240231,0.01,0.00021436227224008576
262,16285,38122,9632,38283,15,2000,0.7619860665327457,0.2380139334672543,0.0,0.0
263,11382,28731,11804,26260,15,2000,0.7078017116636609,0.2921982883363391,0.0,0.0
264,17971,22246,14769,27860,16,2000,0.7029252653279611,0.2970747346720389,0.0,0.0
265,17130,30015,12134,38149,12,2000,0.8537334808573196,0.1462665191426804,0.02,0.0004287245444801715
266,14792,49218,5089,9737,9,2000,0.792466610901147,0.207533389098853,0.0,0.0
267,11532,35065,20022,10400,12,2000,0.8906404226122622,0.1093595773877378,0.75,0.01607717041800643
268,8437,11499,7241,21319,13,2000,0.7144695230470787,0.2855304769529213,0.0,0.0
269,8674,35727,16822,20876,16,2000,0.7571408978044644,0.2428591021955356,0.0,0.0
270,17817,35604,24862,48991,12,2000,0.7580474643661606,0.2419525356338394,0.0,0.0
271,9524,29741,7281,35003,11,2000,0.7988280873500213,0.2011719126499787,0.0,0.0
272,15815,32848,24434,40356,12,2000,0.7554475816479845,0.2445524183520154,0.0,0.0
273,11137,34309,12824,34798,9,2000,0.7832515031021339,0.2167484968978661,0.0,0.0
274,14445,29974,25557,5661,13,2000,0.7655291373893205,0.2344708626106795,0.0,0.0
275,18396,43345,23974,23531,12,2000,0.8257738650717045,0.1742261349282955,0.0,0.0
276,14923,14303,13956,20422,8,2000,0.7543127553681881,0.2456872446318119,0.0,0.0
277,14859,45719,15866,23500,11,2000,0.820416621195409,0.1795833788045909,0.0,0.0
278,19673,28732,7339,16868,12,2000,0.7297742065986357,0.2702257934013643,0.0,0.0
279,18824,37835,20589,42524,12,2000,0.8807702930038799,0.1192297069961201,0.53,0.011361200428724546
280,12230,21635,8550,33449,12,2000,0.8930383021697412,0.1069616978302587,0.89,0.01907824222936763
281,7314,19539,29234,16709,8,2000,0.8606414119188894,0.1393585880811105,0.1,0.0021436227224008574
282,16647,15065,6339,23676,15,2000,0.8342961183118804,0.1657038816881195,0.0,0.0
283,14091,28069,25792,14467,12,2000,0.8994141587634283,0.1005858412365716,0.89,0.01907824222936763
284,13921,12693,24981,39394,11,2000,0.7146668976867742,0.2853331023132258,0.0,0.0
285,11640,28131,24760,36543,12,2000,0.7116574107605809,0.2883425892394191,0.0,0.0
286,7092,37515,25786,29768,9,2000,0.8786566792992361,0.1213433207007639,0.49,0.010503751339764202
287,14794,48495,27884,44698,15,2000,0.7507825870583278,0.2492174129416722,0.0,0.0
288,15001,17969,25597,28795,11,2000,0.8564369694282136,0.1435630305717864,0.04,0.000857449088960343
289,16172,11183,26914,9818,15,2000,0.8583272214961073,0.1416727785038927,0.11,0.0023579849946409434
290,19372,29016,18943,38517,16,2000,0.7969091275386603,0.2030908724613397,0.0,0.0
291,14165,22460,14657,32380,15,2000,0.7578306342712569,0.2421693657287431,0.0,0.0
292,16168,14585,7379,30646,15,2000,0.8288564226801433,0.1711435773198567,0.0,0.0
293,13660,41444,24184,12469,9,2000,0.894913148810677,0.105086851189323,0.92,0.01972132904608789
294,13254,46651,17790,9319,11,2000,0.8097726592315635,0.1902273407684365,0.0,0.0
295,8311,36336,23519,15211,8,2000,0.7805416385330193,0.2194583614669807,0.0,0.0
296,19261,18661,24020,36150,15,2000,0.8562966471435258,0.1437033528564741,0.04,0.000857449088960343
297,18955,48750,25911,44115,8,2000,0.766632685058795,0.233367314941205,0.0,0.0
298,13578,25325,23304,25373,16,2000,0.7775810747300597,0.2224189252699403,0.0,0.0
299,11352,30036,17459,14831,15,2000,0.8651582821796524,0.1348417178203476,0.22,0.004715969989281887
300,19646,13531,20176,31281,9,2000,0.7786003458826568,0.2213996541173432,0.0,0.0
301,16910,30696,27821,30264,16,2000,0.8689945023082146,0.1310054976917853,0.23,0.004930332261521972
302,13605,31861,21193,12375,8,2000,0.705788590758572,0.2942114092414279,0.0,0.0
303,16782,32255,10749,9899,8,2000,0.7916162784618554,0.2083837215381445,0.0,0.0
304,16253,13207,17863,27299,15,2000,0.8221624893898696,0.1778375106101304,0.0,0.0
305,13263,28746,15989,26403,12,2000,0.858188174011378,0.1418118259886219,0.06,0.0012861736334405145
306,19260,38491,5871,26567,9,2000,0.7327002019442634,0.2672997980557365,0.0,0.0
307,15872,26741,20152,20723,12,2000,0.733324768725091,0.266675231274909,0.0,0.0
308,7783,37081,17973,20939,8,2000,0.8157240939455648,0.1842759060544352,0.0,0.0
309,19415,17809,21956,27957,16,2000,0.8086232540231201,0.1913767459768799,0.0,0.0
310,16141,10928,18720,7015,12,2000,0.7358974873411517,0.2641025126588483,0.0,0.0
311,17086,11474,18990,12386,8,2000,0.8600913463923934,0.1399086536076066,0.09,0.0019292604501607716
312,18254,37874,27868,38795,8,2000,0.7232950411488753,0.2767049588511246,0.0,0.0
313,18671,19224,16951,19889,11,2000,0.7577184685282855,0.2422815314717145,0.0,0.0
314,15435,49760,14827,39474,14,2000,0.7381571960418796,0.2618428039581204,0.0,0.0
315,7396,47788,22637,12787,11,2000,0.7586991719439895,0.2413008280560105,0.0,0.0
316,18844,34068,5172,25017,14,2000,0.8149873361282292,0.1850126638717708,0.0,0.0
317,12566,35291,17548,19469,15,2000,0.8826304378009705,0.1173695621990295,0.63,0.013504823151125403
318,17948,33458,14128,22644,14,2000,0.8379431285430365,0.1620568714569634,0.01,0.00021436227224008576
319,13476,12466,24518,29905,12,2000,0.7939816023509033,0.2060183976490966,0.0,0.0
320,8336,11876,16809,24874,11,2000,0.7969642753701561,0.2030357246298438,0.0,0.0
321,19643,42786,16973,35395,9,2000,0.8813561485362902,0.1186438514637098,0.56,0.012004287245444804
322,18233,28184,22467,16581,11,2000,0.7107410695837744,0.2892589304162256,0.0,0.0
323,15271,18463,22820,17012,10,2000,0.7909002910115679,0.2090997089884321,0.0,0.0
